"jp_daily_newsletter_mary_ann_parsons_1_1850" "jp_morning_chronicle_anne_bird_1850" "jp_morning_chronicle_dr_ellis_1846" "jp_morning_chronicle_mary_ann_parsons_2_1850" "jp_morning_chronicle_sarah_brown_1846" "jp_morning_chronicle_susan_moir_1850" "jp_morning_chronicle_wife_murder_1851" "jp_sunday_times_questionable_charity_1850" "vl_daily_newsletter_corporal_punishment_1849" "vl_morning_chronicle_captain_johnstone_1846" "vl_morning_chronicle_law_of_assault_1850" "vl_morning_chronicle_matthewson_1846" "vl_morning_chronicle_north_family_1846" "vl_morning_chronicle_william_burn_1846" "vl_remarks_on_mr_fitzroys_bill_1853" "vl_sunday_times_punishment_of_children_1850"
"been" 0.802407221664995 0.225606316976875 0.70298769771529 0.388349514563107 0.222882615156018 1.21951219512195 0.478468899521531 0.252525252525253 0.4359197907585 0.467836257309941 0.17688679245283 0.74794315632012 0.364963503649635 0.71656050955414 0.294985250737463 0.685714285714286
"law" 0.401203610832498 0.564015792442188 0.175746924428823 0.453074433656958 1.33729569093611 0.13550135501355 0.239234449760766 0 0.610287707061901 0.116959064327485 0.825471698113208 0.074794315632012 0.425790754257908 0.398089171974522 0.337126000842815 0.571428571428571
"an" 0.401203610832498 0.112803158488438 0.615114235500879 0.323624595469256 0.445765230312036 0.2710027100271 0.558213716108453 0.757575757575758 0.4359197907585 0.467836257309941 0.471698113207547 0.448765893792072 0.304136253041363 0.238853503184713 0.547829751369574 0.342857142857143
"from" 0.401203610832498 0.676818950930626 0.351493848857645 0.129449838187702 0.817236255572065 0.40650406504065 0.318979266347687 0.631313131313131 0.1743679163034 0.467836257309941 0.589622641509434 0.523560209424084 0.304136253041363 0.318471337579618 0.168563000421408 0.342857142857143
"we" 0.501504513540622 0.282007896221094 0.351493848857645 0.323624595469256 0.148588410104012 0.2710027100271 0.159489633173844 0 0.610287707061901 0.818713450292398 0.589622641509434 1.19670905011219 0.48661800486618 0.398089171974522 0.0421407501053519 0.342857142857143
"any" 0 0.620417371686407 0.0878734622144113 0.388349514563107 0.594353640416048 0.40650406504065 0.239234449760766 0.505050505050505 0.2615518744551 0.350877192982456 0.648584905660377 0.448765893792072 0.304136253041363 0.398089171974522 0.337126000842815 0.342857142857143
"at" 0.200601805416249 0.338409475465313 0.263620386643234 0.388349514563107 0.37147102526003 0.40650406504065 0.318979266347687 0.883838383838384 0.2615518744551 0.467836257309941 0.35377358490566 0.224382946896036 0.24330900243309 0.477707006369427 0.421407501053519 0.342857142857143
"man" 0.802407221664995 0.112803158488438 0.263620386643234 0.0647249190938511 0.445765230312036 0.2710027100271 0.318979266347687 0 0.1743679163034 1.40350877192982 0.471698113207547 0.897531787584144 0.0608272506082725 0.875796178343949 0.0421407501053519 0.228571428571429
"has" 0.200601805416249 0.225606316976875 0.263620386643234 0.129449838187702 0.297176820208024 0.2710027100271 0.159489633173844 0.126262626262626 0.3487358326068 0.935672514619883 0.35377358490566 0.598354525056096 0.48661800486618 0.318471337579618 0.337126000842815 0.914285714285714
"case" 0.200601805416249 0.394811054709532 0.615114235500879 0.258899676375405 0.445765230312036 0.948509485094851 0.637958532695375 0.252525252525253 0.3487358326068 0 0.235849056603774 0.224382946896036 0.608272506082725 0.0796178343949045 0.0842815002107038 0.457142857142857
"most" 0.601805416248746 0.394811054709532 0.527240773286467 0.0647249190938511 0.222882615156018 0.40650406504065 0.0797448165869219 0 0.5231037489102 0.584795321637427 0.235849056603774 0.673148840688108 0.121654501216545 0.318471337579618 0.421407501053519 0.228571428571429
"such" 0.300902708124373 0.338409475465313 0.175746924428823 0.517799352750809 0.148588410104012 0.677506775067751 0.637958532695375 0.126262626262626 0.3487358326068 0.350877192982456 0.294811320754717 0.224382946896036 0 0.159235668789809 0.421407501053519 0.571428571428571
"them" 0.300902708124373 0.169204737732657 0.263620386643234 0.647249190938511 0.297176820208024 0.13550135501355 0.239234449760766 0.505050505050505 0.2615518744551 0.350877192982456 0.294811320754717 0.224382946896036 0.790754257907543 0.318471337579618 0.168563000421408 0.114285714285714
"there" 0.100300902708124 0.225606316976875 0.263620386643234 0.711974110032362 0.148588410104012 0.2710027100271 0.478468899521531 0.378787878787879 0.3487358326068 0.116959064327485 0.412735849056604 0.224382946896036 0.364963503649635 0.0796178343949045 0.505689001264222 0.114285714285714
"no" 0.100300902708124 0.225606316976875 0.439367311072056 0.517799352750809 0.445765230312036 0.40650406504065 0.159489633173844 0.252525252525253 0.1743679163034 0.467836257309941 0.235849056603774 0.299177262528048 0.547445255474453 0.318471337579618 0.126422250316056 0.457142857142857
"all" 0 0.282007896221094 0.527240773286467 0.129449838187702 0.222882615156018 0.40650406504065 0.318979266347687 0.378787878787879 0.4359197907585 0.350877192982456 0.707547169811321 0.224382946896036 0.24330900243309 0.159235668789809 0.294985250737463 0.228571428571429
"than" 0.200601805416249 0.338409475465313 0.0878734622144113 0.258899676375405 0.222882615156018 0 0.159489633173844 0.126262626262626 0.5231037489102 0.116959064327485 0.235849056603774 0.37397157816006 0.121654501216545 0.71656050955414 0.463548251158871 0.342857142857143
"s" 0.401203610832498 0.0564015792442188 0.263620386643234 0.323624595469256 0.222882615156018 0.677506775067751 0.318979266347687 0.126262626262626 0.3487358326068 0 0.117924528301887 0.074794315632012 0.790754257907543 0.238853503184713 0.0421407501053519 1.02857142857143
"more" 0 0.225606316976875 0.0878734622144113 0.453074433656958 0.148588410104012 0 0.239234449760766 0.378787878787879 0.5231037489102 0.116959064327485 0.412735849056604 0.224382946896036 0.182481751824818 0.636942675159236 0.421407501053519 0
"other" 0.100300902708124 0.225606316976875 0.351493848857645 0.453074433656958 0.222882615156018 0.40650406504065 0.478468899521531 0.757575757575758 0.2615518744551 0.467836257309941 0.117924528301887 0.299177262528048 0.24330900243309 0.0796178343949045 0.0421407501053519 0.571428571428571
"so" 0.100300902708124 0.169204737732657 0.527240773286467 0.0647249190938511 0.148588410104012 0.13550135501355 0.318979266347687 0.505050505050505 0.3487358326068 0.584795321637427 0.117924528301887 0.448765893792072 0.425790754257908 0.318471337579618 0.210703750526759 0.228571428571429
